,RunId,iteration,Step,init_people,rich_threshold,reserve_percent,Rich,Poor,Middle Class,Savings,Wallets,Money,Loans,Model Params,Run,AgentID,Wealth
0,0,0,1000,25,5,5,14,6,5,306,0,306,211,"(25, 5, 5)",1,0,31
1,0,0,1000,25,5,5,14,6,5,306,0,306,211,"(25, 5, 5)",1,1,7
2,0,0,1000,25,5,5,14,6,5,306,0,306,211,"(25, 5, 5)",1,2,8
3,0,0,1000,25,5,5,14,6,5,306,0,306,211,"(25, 5, 5)",1,3,13
4,0,0,1000,25,5,5,14,6,5,306,0,306,211,"(25, 5, 5)",1,4,13
5,0,0,1000,25,5,5,14,6,5,306,0,306,211,"(25, 5, 5)",1,5,31
6,0,0,1000,25,5,5,14,6,5,306,0,306,211,"(25, 5, 5)",1,6,12
7,0,0,1000,25,5,5,14,6,5,306,0,306,211,"(25, 5, 5)",1,7,-36
8,0,0,1000,25,5,5,14,6,5,306,0,306,211,"(25, 5, 5)",1,8,28
9,0,0,1000,25,5,5,14,6,5,306,0,306,211,"(25, 5, 5)",1,9,3
10,0,0,1000,25,5,5,14,6,5,306,0,306,211,"(25, 5, 5)",1,10,31
11,0,0,1000,25,5,5,14,6,5,306,0,306,211,"(25, 5, 5)",1,11,29
12,0,0,1000,25,5,5,14,6,5,306,0,306,211,"(25, 5, 5)",1,12,-46
13,0,0,1000,25,5,5,14,6,5,306,0,306,211,"(25, 5, 5)",1,13,-72
14,0,0,1000,25,5,5,14,6,5,306,0,306,211,"(25, 5, 5)",1,14,-1
15,0,0,1000,25,5,5,14,6,5,306,0,306,211,"(25, 5, 5)",1,15,2
16,0,0,1000,25,5,5,14,6,5,306,0,306,211,"(25, 5, 5)",1,16,26
17,0,0,1000,25,5,5,14,6,5,306,0,306,211,"(25, 5, 5)",1,17,-7
18,0,0,1000,25,5,5,14,6,5,306,0,306,211,"(25, 5, 5)",1,18,22
19,0,0,1000,25,5,5,14,6,5,306,0,306,211,"(25, 5, 5)",1,19,-13
20,0,0,1000,25,5,5,14,6,5,306,0,306,211,"(25, 5, 5)",1,20,0
21,0,0,1000,25,5,5,14,6,5,306,0,306,211,"(25, 5, 5)",1,21,-15
22,0,0,1000,25,5,5,14,6,5,306,0,306,211,"(25, 5, 5)",1,22,-21
23,0,0,1000,25,5,5,14,6,5,306,0,306,211,"(25, 5, 5)",1,23,6
24,0,0,1000,25,5,5,14,6,5,306,0,306,211,"(25, 5, 5)",1,24,44
25,1,0,1000,25,10,5,12,6,6,338,0,338,197,"(25, 10, 5)",2,0,57
26,1,0,1000,25,10,5,12,6,6,338,0,338,197,"(25, 10, 5)",2,1,-16
27,1,0,1000,25,10,5,12,6,6,338,0,338,197,"(25, 10, 5)",2,2,8
28,1,0,1000,25,10,5,12,6,6,338,0,338,197,"(25, 10, 5)",2,3,-1
29,1,0,1000,25,10,5,12,6,6,338,0,338,197,"(25, 10, 5)",2,4,5
30,1,0,1000,25,10,5,12,6,6,338,0,338,197,"(25, 10, 5)",2,5,-16
31,1,0,1000,25,10,5,12,6,6,338,0,338,197,"(25, 10, 5)",2,6,45
32,1,0,1000,25,10,5,12,6,6,338,0,338,197,"(25, 10, 5)",2,7,-52
33,1,0,1000,25,10,5,12,6,6,338,0,338,197,"(25, 10, 5)",2,8,-20
34,1,0,1000,25,10,5,12,6,6,338,0,338,197,"(25, 10, 5)",2,9,-2
35,1,0,1000,25,10,5,12,6,6,338,0,338,197,"(25, 10, 5)",2,10,28
36,1,0,1000,25,10,5,12,6,6,338,0,338,197,"(25, 10, 5)",2,11,38
37,1,0,1000,25,10,5,12,6,6,338,0,338,197,"(25, 10, 5)",2,12,18
38,1,0,1000,25,10,5,12,6,6,338,0,338,197,"(25, 10, 5)",2,13,-5
39,1,0,1000,25,10,5,12,6,6,338,0,338,197,"(25, 10, 5)",2,14,16
40,1,0,1000,25,10,5,12,6,6,338,0,338,197,"(25, 10, 5)",2,15,14
41,1,0,1000,25,10,5,12,6,6,338,0,338,197,"(25, 10, 5)",2,16,-23
42,1,0,1000,25,10,5,12,6,6,338,0,338,197,"(25, 10, 5)",2,17,15
43,1,0,1000,25,10,5,12,6,6,338,0,338,197,"(25, 10, 5)",2,18,-4
44,1,0,1000,25,10,5,12,6,6,338,0,338,197,"(25, 10, 5)",2,19,-10
45,1,0,1000,25,10,5,12,6,6,338,0,338,197,"(25, 10, 5)",2,20,18
46,1,0,1000,25,10,5,12,6,6,338,0,338,197,"(25, 10, 5)",2,21,42
47,1,0,1000,25,10,5,12,6,6,338,0,338,197,"(25, 10, 5)",2,22,23
48,1,0,1000,25,10,5,12,6,6,338,0,338,197,"(25, 10, 5)",2,23,-48
49,1,0,1000,25,10,5,12,6,6,338,0,338,197,"(25, 10, 5)",2,24,11
50,2,0,1000,100,5,5,44,37,14,2071,38,2109,1750,"(100, 5, 5)",3,0,82
51,2,0,1000,100,5,5,44,37,14,2071,38,2109,1750,"(100, 5, 5)",3,1,-46
52,2,0,1000,100,5,5,44,37,14,2071,38,2109,1750,"(100, 5, 5)",3,2,26
53,2,0,1000,100,5,5,44,37,14,2071,38,2109,1750,"(100, 5, 5)",3,3,-16
54,2,0,1000,100,5,5,44,37,14,2071,38,2109,1750,"(100, 5, 5)",3,4,17
55,2,0,1000,100,5,5,44,37,14,2071,38,2109,1750,"(100, 5, 5)",3,5,31
56,2,0,1000,100,5,5,44,37,14,2071,38,2109,1750,"(100, 5, 5)",3,6,-40
57,2,0,1000,100,5,5,44,37,14,2071,38,2109,1750,"(100, 5, 5)",3,7,0
58,2,0,1000,100,5,5,44,37,14,2071,38,2109,1750,"(100, 5, 5)",3,8,-70
59,2,0,1000,100,5,5,44,37,14,2071,38,2109,1750,"(100, 5, 5)",3,9,4
60,2,0,1000,100,5,5,44,37,14,2071,38,2109,1750,"(100, 5, 5)",3,10,10
61,2,0,1000,100,5,5,44,37,14,2071,38,2109,1750,"(100, 5, 5)",3,11,-58
62,2,0,1000,100,5,5,44,37,14,2071,38,2109,1750,"(100, 5, 5)",3,12,-31
63,2,0,1000,100,5,5,44,37,14,2071,38,2109,1750,"(100, 5, 5)",3,13,-20
64,2,0,1000,100,5,5,44,37,14,2071,38,2109,1750,"(100, 5, 5)",3,14,49
65,2,0,1000,100,5,5,44,37,14,2071,38,2109,1750,"(100, 5, 5)",3,15,-142
66,2,0,1000,100,5,5,44,37,14,2071,38,2109,1750,"(100, 5, 5)",3,16,-58
67,2,0,1000,100,5,5,44,37,14,2071,38,2109,1750,"(100, 5, 5)",3,17,-6
68,2,0,1000,100,5,5,44,37,14,2071,38,2109,1750,"(100, 5, 5)",3,18,-32
69,2,0,1000,100,5,5,44,37,14,2071,38,2109,1750,"(100, 5, 5)",3,19,-9
70,2,0,1000,100,5,5,44,37,14,2071,38,2109,1750,"(100, 5, 5)",3,20,-21
71,2,0,1000,100,5,5,44,37,14,2071,38,2109,1750,"(100, 5, 5)",3,21,-10
72,2,0,1000,100,5,5,44,37,14,2071,38,2109,1750,"(100, 5, 5)",3,22,-10
73,2,0,1000,100,5,5,44,37,14,2071,38,2109,1750,"(100, 5, 5)",3,23,-9
74,2,0,1000,100,5,5,44,37,14,2071,38,2109,1750,"(100, 5, 5)",3,24,74
75,2,0,1000,100,5,5,44,37,14,2071,38,2109,1750,"(100, 5, 5)",3,25,141
76,2,0,1000,100,5,5,44,37,14,2071,38,2109,1750,"(100, 5, 5)",3,26,-14
77,2,0,1000,100,5,5,44,37,14,2071,38,2109,1750,"(100, 5, 5)",3,27,-49
78,2,0,1000,100,5,5,44,37,14,2071,38,2109,1750,"(100, 5, 5)",3,28,53
79,2,0,1000,100,5,5,44,37,14,2071,38,2109,1750,"(100, 5, 5)",3,29,-28
80,2,0,1000,100,5,5,44,37,14,2071,38,2109,1750,"(100, 5, 5)",3,30,35
81,2,0,1000,100,5,5,44,37,14,2071,38,2109,1750,"(100, 5, 5)",3,31,-28
82,2,0,1000,100,5,5,44,37,14,2071,38,2109,1750,"(100, 5, 5)",3,32,10
83,2,0,1000,100,5,5,44,37,14,2071,38,2109,1750,"(100, 5, 5)",3,33,-17
84,2,0,1000,100,5,5,44,37,14,2071,38,2109,1750,"(100, 5, 5)",3,34,22
85,2,0,1000,100,5,5,44,37,14,2071,38,2109,1750,"(100, 5, 5)",3,35,-34
86,2,0,1000,100,5,5,44,37,14,2071,38,2109,1750,"(100, 5, 5)",3,36,-14
87,2,0,1000,100,5,5,44,37,14,2071,38,2109,1750,"(100, 5, 5)",3,37,31
88,2,0,1000,100,5,5,44,37,14,2071,38,2109,1750,"(100, 5, 5)",3,38,-28
89,2,0,1000,100,5,5,44,37,14,2071,38,2109,1750,"(100, 5, 5)",3,39,46
90,2,0,1000,100,5,5,44,37,14,2071,38,2109,1750,"(100, 5, 5)",3,40,-18
91,2,0,1000,100,5,5,44,37,14,2071,38,2109,1750,"(100, 5, 5)",3,41,-122
92,2,0,1000,100,5,5,44,37,14,2071,38,2109,1750,"(100, 5, 5)",3,42,13
93,2,0,1000,100,5,5,44,37,14,2071,38,2109,1750,"(100, 5, 5)",3,43,-29
94,2,0,1000,100,5,5,44,37,14,2071,38,2109,1750,"(100, 5, 5)",3,44,-22
95,2,0,1000,100,5,5,44,37,14,2071,38,2109,1750,"(100, 5, 5)",3,45,114
96,2,0,1000,100,5,5,44,37,14,2071,38,2109,1750,"(100, 5, 5)",3,46,-47
97,2,0,1000,100,5,5,44,37,14,2071,38,2109,1750,"(100, 5, 5)",3,47,-22
98,2,0,1000,100,5,5,44,37,14,2071,38,2109,1750,"(100, 5, 5)",3,48,-5
99,2,0,1000,100,5,5,44,37,14,2071,38,2109,1750,"(100, 5, 5)",3,49,39
100,2,0,1000,100,5,5,44,37,14,2071,38,2109,1750,"(100, 5, 5)",3,50,-1
101,2,0,1000,100,5,5,44,37,14,2071,38,2109,1750,"(100, 5, 5)",3,51,-54
102,2,0,1000,100,5,5,44,37,14,2071,38,2109,1750,"(100, 5, 5)",3,52,51
103,2,0,1000,100,5,5,44,37,14,2071,38,2109,1750,"(100, 5, 5)",3,53,8
104,2,0,1000,100,5,5,44,37,14,2071,38,2109,1750,"(100, 5, 5)",3,54,37
105,2,0,1000,100,5,5,44,37,14,2071,38,2109,1750,"(100, 5, 5)",3,55,-54
106,2,0,1000,100,5,5,44,37,14,2071,38,2109,1750,"(100, 5, 5)",3,56,-57
107,2,0,1000,100,5,5,44,37,14,2071,38,2109,1750,"(100, 5, 5)",3,57,0
108,2,0,1000,100,5,5,44,37,14,2071,38,2109,1750,"(100, 5, 5)",3,58,50
109,2,0,1000,100,5,5,44,37,14,2071,38,2109,1750,"(100, 5, 5)",3,59,-5
110,2,0,1000,100,5,5,44,37,14,2071,38,2109,1750,"(100, 5, 5)",3,60,1
111,2,0,1000,100,5,5,44,37,14,2071,38,2109,1750,"(100, 5, 5)",3,61,-9
112,2,0,1000,100,5,5,44,37,14,2071,38,2109,1750,"(100, 5, 5)",3,62,34
113,2,0,1000,100,5,5,44,37,14,2071,38,2109,1750,"(100, 5, 5)",3,63,-22
114,2,0,1000,100,5,5,44,37,14,2071,38,2109,1750,"(100, 5, 5)",3,64,31
115,2,0,1000,100,5,5,44,37,14,2071,38,2109,1750,"(100, 5, 5)",3,65,-24
116,2,0,1000,100,5,5,44,37,14,2071,38,2109,1750,"(100, 5, 5)",3,66,30
117,2,0,1000,100,5,5,44,37,14,2071,38,2109,1750,"(100, 5, 5)",3,67,32
118,2,0,1000,100,5,5,44,37,14,2071,38,2109,1750,"(100, 5, 5)",3,68,-8
119,2,0,1000,100,5,5,44,37,14,2071,38,2109,1750,"(100, 5, 5)",3,69,-10
120,2,0,1000,100,5,5,44,37,14,2071,38,2109,1750,"(100, 5, 5)",3,70,-117
121,2,0,1000,100,5,5,44,37,14,2071,38,2109,1750,"(100, 5, 5)",3,71,-21
122,2,0,1000,100,5,5,44,37,14,2071,38,2109,1750,"(100, 5, 5)",3,72,-37
123,2,0,1000,100,5,5,44,37,14,2071,38,2109,1750,"(100, 5, 5)",3,73,50
124,2,0,1000,100,5,5,44,37,14,2071,38,2109,1750,"(100, 5, 5)",3,74,98
125,2,0,1000,100,5,5,44,37,14,2071,38,2109,1750,"(100, 5, 5)",3,75,-47
126,2,0,1000,100,5,5,44,37,14,2071,38,2109,1750,"(100, 5, 5)",3,76,5
127,2,0,1000,100,5,5,44,37,14,2071,38,2109,1750,"(100, 5, 5)",3,77,9
128,2,0,1000,100,5,5,44,37,14,2071,38,2109,1750,"(100, 5, 5)",3,78,24
129,2,0,1000,100,5,5,44,37,14,2071,38,2109,1750,"(100, 5, 5)",3,79,19
130,2,0,1000,100,5,5,44,37,14,2071,38,2109,1750,"(100, 5, 5)",3,80,23
131,2,0,1000,100,5,5,44,37,14,2071,38,2109,1750,"(100, 5, 5)",3,81,-89
132,2,0,1000,100,5,5,44,37,14,2071,38,2109,1750,"(100, 5, 5)",3,82,11
133,2,0,1000,100,5,5,44,37,14,2071,38,2109,1750,"(100, 5, 5)",3,83,94
134,2,0,1000,100,5,5,44,37,14,2071,38,2109,1750,"(100, 5, 5)",3,84,40
135,2,0,1000,100,5,5,44,37,14,2071,38,2109,1750,"(100, 5, 5)",3,85,-10
136,2,0,1000,100,5,5,44,37,14,2071,38,2109,1750,"(100, 5, 5)",3,86,65
137,2,0,1000,100,5,5,44,37,14,2071,38,2109,1750,"(100, 5, 5)",3,87,66
138,2,0,1000,100,5,5,44,37,14,2071,38,2109,1750,"(100, 5, 5)",3,88,-51
139,2,0,1000,100,5,5,44,37,14,2071,38,2109,1750,"(100, 5, 5)",3,89,25
140,2,0,1000,100,5,5,44,37,14,2071,38,2109,1750,"(100, 5, 5)",3,90,16
141,2,0,1000,100,5,5,44,37,14,2071,38,2109,1750,"(100, 5, 5)",3,91,157
142,2,0,1000,100,5,5,44,37,14,2071,38,2109,1750,"(100, 5, 5)",3,92,12
143,2,0,1000,100,5,5,44,37,14,2071,38,2109,1750,"(100, 5, 5)",3,93,68
144,2,0,1000,100,5,5,44,37,14,2071,38,2109,1750,"(100, 5, 5)",3,94,25
145,2,0,1000,100,5,5,44,37,14,2071,38,2109,1750,"(100, 5, 5)",3,95,-3
146,2,0,1000,100,5,5,44,37,14,2071,38,2109,1750,"(100, 5, 5)",3,96,-3
147,2,0,1000,100,5,5,44,37,14,2071,38,2109,1750,"(100, 5, 5)",3,97,70
148,2,0,1000,100,5,5,44,37,14,2071,38,2109,1750,"(100, 5, 5)",3,98,123
149,2,0,1000,100,5,5,44,37,14,2071,38,2109,1750,"(100, 5, 5)",3,99,-73
150,3,0,1000,100,10,5,50,39,11,2719,15,2734,2141,"(100, 10, 5)",4,0,83
151,3,0,1000,100,10,5,50,39,11,2719,15,2734,2141,"(100, 10, 5)",4,1,9
152,3,0,1000,100,10,5,50,39,11,2719,15,2734,2141,"(100, 10, 5)",4,2,-56
153,3,0,1000,100,10,5,50,39,11,2719,15,2734,2141,"(100, 10, 5)",4,3,11
154,3,0,1000,100,10,5,50,39,11,2719,15,2734,2141,"(100, 10, 5)",4,4,126
155,3,0,1000,100,10,5,50,39,11,2719,15,2734,2141,"(100, 10, 5)",4,5,36
156,3,0,1000,100,10,5,50,39,11,2719,15,2734,2141,"(100, 10, 5)",4,6,-56
157,3,0,1000,100,10,5,50,39,11,2719,15,2734,2141,"(100, 10, 5)",4,7,56
158,3,0,1000,100,10,5,50,39,11,2719,15,2734,2141,"(100, 10, 5)",4,8,-47
159,3,0,1000,100,10,5,50,39,11,2719,15,2734,2141,"(100, 10, 5)",4,9,-117
160,3,0,1000,100,10,5,50,39,11,2719,15,2734,2141,"(100, 10, 5)",4,10,-78
161,3,0,1000,100,10,5,50,39,11,2719,15,2734,2141,"(100, 10, 5)",4,11,24
162,3,0,1000,100,10,5,50,39,11,2719,15,2734,2141,"(100, 10, 5)",4,12,-77
163,3,0,1000,100,10,5,50,39,11,2719,15,2734,2141,"(100, 10, 5)",4,13,-95
164,3,0,1000,100,10,5,50,39,11,2719,15,2734,2141,"(100, 10, 5)",4,14,103
165,3,0,1000,100,10,5,50,39,11,2719,15,2734,2141,"(100, 10, 5)",4,15,114
166,3,0,1000,100,10,5,50,39,11,2719,15,2734,2141,"(100, 10, 5)",4,16,57
167,3,0,1000,100,10,5,50,39,11,2719,15,2734,2141,"(100, 10, 5)",4,17,48
168,3,0,1000,100,10,5,50,39,11,2719,15,2734,2141,"(100, 10, 5)",4,18,51
169,3,0,1000,100,10,5,50,39,11,2719,15,2734,2141,"(100, 10, 5)",4,19,-20
170,3,0,1000,100,10,5,50,39,11,2719,15,2734,2141,"(100, 10, 5)",4,20,-15
171,3,0,1000,100,10,5,50,39,11,2719,15,2734,2141,"(100, 10, 5)",4,21,49
172,3,0,1000,100,10,5,50,39,11,2719,15,2734,2141,"(100, 10, 5)",4,22,129
173,3,0,1000,100,10,5,50,39,11,2719,15,2734,2141,"(100, 10, 5)",4,23,-91
174,3,0,1000,100,10,5,50,39,11,2719,15,2734,2141,"(100, 10, 5)",4,24,-67
175,3,0,1000,100,10,5,50,39,11,2719,15,2734,2141,"(100, 10, 5)",4,25,-18
176,3,0,1000,100,10,5,50,39,11,2719,15,2734,2141,"(100, 10, 5)",4,26,112
177,3,0,1000,100,10,5,50,39,11,2719,15,2734,2141,"(100, 10, 5)",4,27,93
178,3,0,1000,100,10,5,50,39,11,2719,15,2734,2141,"(100, 10, 5)",4,28,23
179,3,0,1000,100,10,5,50,39,11,2719,15,2734,2141,"(100, 10, 5)",4,29,-38
180,3,0,1000,100,10,5,50,39,11,2719,15,2734,2141,"(100, 10, 5)",4,30,0
181,3,0,1000,100,10,5,50,39,11,2719,15,2734,2141,"(100, 10, 5)",4,31,4
182,3,0,1000,100,10,5,50,39,11,2719,15,2734,2141,"(100, 10, 5)",4,32,-11
183,3,0,1000,100,10,5,50,39,11,2719,15,2734,2141,"(100, 10, 5)",4,33,33
184,3,0,1000,100,10,5,50,39,11,2719,15,2734,2141,"(100, 10, 5)",4,34,-5
185,3,0,1000,100,10,5,50,39,11,2719,15,2734,2141,"(100, 10, 5)",4,35,-11
186,3,0,1000,100,10,5,50,39,11,2719,15,2734,2141,"(100, 10, 5)",4,36,-23
187,3,0,1000,100,10,5,50,39,11,2719,15,2734,2141,"(100, 10, 5)",4,37,82
188,3,0,1000,100,10,5,50,39,11,2719,15,2734,2141,"(100, 10, 5)",4,38,-97
189,3,0,1000,100,10,5,50,39,11,2719,15,2734,2141,"(100, 10, 5)",4,39,-44
190,3,0,1000,100,10,5,50,39,11,2719,15,2734,2141,"(100, 10, 5)",4,40,-12
191,3,0,1000,100,10,5,50,39,11,2719,15,2734,2141,"(100, 10, 5)",4,41,13
192,3,0,1000,100,10,5,50,39,11,2719,15,2734,2141,"(100, 10, 5)",4,42,-126
193,3,0,1000,100,10,5,50,39,11,2719,15,2734,2141,"(100, 10, 5)",4,43,54
194,3,0,1000,100,10,5,50,39,11,2719,15,2734,2141,"(100, 10, 5)",4,44,42
195,3,0,1000,100,10,5,50,39,11,2719,15,2734,2141,"(100, 10, 5)",4,45,-5
196,3,0,1000,100,10,5,50,39,11,2719,15,2734,2141,"(100, 10, 5)",4,46,13
197,3,0,1000,100,10,5,50,39,11,2719,15,2734,2141,"(100, 10, 5)",4,47,4
198,3,0,1000,100,10,5,50,39,11,2719,15,2734,2141,"(100, 10, 5)",4,48,31
199,3,0,1000,100,10,5,50,39,11,2719,15,2734,2141,"(100, 10, 5)",4,49,-2
200,3,0,1000,100,10,5,50,39,11,2719,15,2734,2141,"(100, 10, 5)",4,50,32
201,3,0,1000,100,10,5,50,39,11,2719,15,2734,2141,"(100, 10, 5)",4,51,54
202,3,0,1000,100,10,5,50,39,11,2719,15,2734,2141,"(100, 10, 5)",4,52,51
203,3,0,1000,100,10,5,50,39,11,2719,15,2734,2141,"(100, 10, 5)",4,53,48
204,3,0,1000,100,10,5,50,39,11,2719,15,2734,2141,"(100, 10, 5)",4,54,148
205,3,0,1000,100,10,5,50,39,11,2719,15,2734,2141,"(100, 10, 5)",4,55,-4
206,3,0,1000,100,10,5,50,39,11,2719,15,2734,2141,"(100, 10, 5)",4,56,58
207,3,0,1000,100,10,5,50,39,11,2719,15,2734,2141,"(100, 10, 5)",4,57,-74
208,3,0,1000,100,10,5,50,39,11,2719,15,2734,2141,"(100, 10, 5)",4,58,-85
209,3,0,1000,100,10,5,50,39,11,2719,15,2734,2141,"(100, 10, 5)",4,59,-41
210,3,0,1000,100,10,5,50,39,11,2719,15,2734,2141,"(100, 10, 5)",4,60,64
211,3,0,1000,100,10,5,50,39,11,2719,15,2734,2141,"(100, 10, 5)",4,61,76
212,3,0,1000,100,10,5,50,39,11,2719,15,2734,2141,"(100, 10, 5)",4,62,116
213,3,0,1000,100,10,5,50,39,11,2719,15,2734,2141,"(100, 10, 5)",4,63,-24
214,3,0,1000,100,10,5,50,39,11,2719,15,2734,2141,"(100, 10, 5)",4,64,-91
215,3,0,1000,100,10,5,50,39,11,2719,15,2734,2141,"(100, 10, 5)",4,65,13
216,3,0,1000,100,10,5,50,39,11,2719,15,2734,2141,"(100, 10, 5)",4,66,15
217,3,0,1000,100,10,5,50,39,11,2719,15,2734,2141,"(100, 10, 5)",4,67,63
218,3,0,1000,100,10,5,50,39,11,2719,15,2734,2141,"(100, 10, 5)",4,68,13
219,3,0,1000,100,10,5,50,39,11,2719,15,2734,2141,"(100, 10, 5)",4,69,51
220,3,0,1000,100,10,5,50,39,11,2719,15,2734,2141,"(100, 10, 5)",4,70,-61
221,3,0,1000,100,10,5,50,39,11,2719,15,2734,2141,"(100, 10, 5)",4,71,-41
222,3,0,1000,100,10,5,50,39,11,2719,15,2734,2141,"(100, 10, 5)",4,72,-13
223,3,0,1000,100,10,5,50,39,11,2719,15,2734,2141,"(100, 10, 5)",4,73,30
224,3,0,1000,100,10,5,50,39,11,2719,15,2734,2141,"(100, 10, 5)",4,74,-44
225,3,0,1000,100,10,5,50,39,11,2719,15,2734,2141,"(100, 10, 5)",4,75,-69
226,3,0,1000,100,10,5,50,39,11,2719,15,2734,2141,"(100, 10, 5)",4,76,27
227,3,0,1000,100,10,5,50,39,11,2719,15,2734,2141,"(100, 10, 5)",4,77,60
228,3,0,1000,100,10,5,50,39,11,2719,15,2734,2141,"(100, 10, 5)",4,78,63
229,3,0,1000,100,10,5,50,39,11,2719,15,2734,2141,"(100, 10, 5)",4,79,-99
230,3,0,1000,100,10,5,50,39,11,2719,15,2734,2141,"(100, 10, 5)",4,80,0
231,3,0,1000,100,10,5,50,39,11,2719,15,2734,2141,"(100, 10, 5)",4,81,-70
232,3,0,1000,100,10,5,50,39,11,2719,15,2734,2141,"(100, 10, 5)",4,82,-11
233,3,0,1000,100,10,5,50,39,11,2719,15,2734,2141,"(100, 10, 5)",4,83,-6
234,3,0,1000,100,10,5,50,39,11,2719,15,2734,2141,"(100, 10, 5)",4,84,-21
235,3,0,1000,100,10,5,50,39,11,2719,15,2734,2141,"(100, 10, 5)",4,85,67
236,3,0,1000,100,10,5,50,39,11,2719,15,2734,2141,"(100, 10, 5)",4,86,27
237,3,0,1000,100,10,5,50,39,11,2719,15,2734,2141,"(100, 10, 5)",4,87,77
238,3,0,1000,100,10,5,50,39,11,2719,15,2734,2141,"(100, 10, 5)",4,88,75
239,3,0,1000,100,10,5,50,39,11,2719,15,2734,2141,"(100, 10, 5)",4,89,-33
240,3,0,1000,100,10,5,50,39,11,2719,15,2734,2141,"(100, 10, 5)",4,90,15
241,3,0,1000,100,10,5,50,39,11,2719,15,2734,2141,"(100, 10, 5)",4,91,-79
242,3,0,1000,100,10,5,50,39,11,2719,15,2734,2141,"(100, 10, 5)",4,92,18
243,3,0,1000,100,10,5,50,39,11,2719,15,2734,2141,"(100, 10, 5)",4,93,17
244,3,0,1000,100,10,5,50,39,11,2719,15,2734,2141,"(100, 10, 5)",4,94,-46
245,3,0,1000,100,10,5,50,39,11,2719,15,2734,2141,"(100, 10, 5)",4,95,30
246,3,0,1000,100,10,5,50,39,11,2719,15,2734,2141,"(100, 10, 5)",4,96,-41
247,3,0,1000,100,10,5,50,39,11,2719,15,2734,2141,"(100, 10, 5)",4,97,-6
248,3,0,1000,100,10,5,50,39,11,2719,15,2734,2141,"(100, 10, 5)",4,98,11
249,3,0,1000,100,10,5,50,39,11,2719,15,2734,2141,"(100, 10, 5)",4,99,-71
